Tier;Level;Ticket Cost;Ticket Reward;Clan XP Rewards;Player XP Reward;Dust Reward;Cards reward;Scroll Reward;Fortune Scroll Reward;Attacks Per Rest;Titan Base HP;Titan Count;Total HP;Titan Lord Type
1;1;200;80;33;25;320;6;0;0;3;459,000;3;1,380,000;Lojak,Takedar
1;2;250;100;36;30;480;12;0;0;3;568,000;4;2,270,000;Lojak,Jukk
1;3;300;120;41;50;480;18;1;0;3;842,000;5;4,210,000;Takedar,Jukk
1;4;400;160;43;75;480;24;2;0;3;1,200,000;6;7,180,000;Lojak,Takedar
1;5;500;200;51;85;1000;30;2;0;3;2,880,000;4;11,500,000;Lojak,Jukk
1;6;600;240;56;95;1000;36;3;0;3;3,510,000;5;17,500,000;Lojak,Takedar
1;7;700;280;68;105;1600;42;3;0;3;7,450,000;3;22,300,000;Takedar,Jukk
1;8;800;320;74;115;1600;48;4;0;3;7,020,000;4;28,100,000;Lojak,Jukk
1;9;900;360;84;125;2200;54;4;0;3;4,360,000;8;34,900,000;Lojak,Takedar
1;10;1000;400;92;135;2200;60;5;0;3;5,350,000;8;42,800,000;Lojak,Takedar,Jukk
2;1;1000;400;116;165;2400;80;5;1;4;10,700,000;4;42,800,000;Lojak,Takedar,Jukk
2;2;1000;400;126;175;2424;82;5;1;4;11,100,000;5;55,600,000;Takedar,Jukk,Terro
2;3;1000;400;130;185;2448;83;5;1;4;15,000,000;4;60,100,000;Lojak,Jukk,Terro
2;4;1000;400;134;195;2472;85;5;1;4;13,000,000;5;64,900,000;Takedar,Sterl,Terro
2;5;1000;400;138;205;2496;86;5;1;4;16,900,000;5;84,700,000;Takedar,Jukk,Sterl
2;6;1000;400;142;215;2520;88;5;1;4;18,400,000;6;110,000,000;Lojak,Jukk,Terro
2;7;1000;400;146;225;2544;90;6;1;4;16,700,000;7;117,000,000;Lojak,Takedar,Sterl
2;8;1000;400;150;235;2568;91;6;1;4;19,000,000;8;152,000,000;Takedar,Sterl,Terro
2;9;1000;400;154;245;2592;93;6;1;4;25,600,000;7;179,000,000;Lojak,Jukk,Sterl
2;10;1000;400;160;255;2616;94;6;1;4;58,200,000;4;233,000,000;Lojak,Sterl,Mohaca
2;11;1000;400;164;265;2640;96;7;1;4;35,200,000;7;247,000,000;Takedar,Jukk,Terro
2;12;1000;400;170;275;2664;98;7;1;4;63,500,000;4;254,000,000;Lojak,Takedar,Jukk
2;13;1000;400;174;285;2688;99;7;1;4;82,600,000;4;330,000,000;Sterl,Mohaca,Terro
2;14;1000;400;180;295;2712;101;8;1;4;68,000,000;5;340,000,000;Lojak,Mohaca,Terro
2;15;1000;400;186;305;2736;102;8;1;4;60,100,000;6;361,000,000;Takedar,Sterl,Mohaca
2;16;1000;400;190;315;2760;104;8;1;4;74,300,000;5;371,000,000;Lojak,Jukk,Terro
2;17;1000;400;196;325;2784;106;8;1;4;76,500,000;5;383,000,000;Lojak,Takedar,Mohaca
2;18;1000;400;202;335;2808;107;9;1;4;131,000,000;3;394,000,000;Jukk,Sterl,Mohaca
2;19;1000;400;208;345;2832;109;9;1;4;81,200,000;5;406,000,000;Jukk,Sterl,Terro
2;20;1000;400;214;355;2856;110;10;1;4;69,600,000;7;487,000,000;Sterl,Mohaca,Terro
3;1;1000;400;220;365;2880;112;10;1;4;158,000,000;4;633,000,000;Lojak,Sterl,Mohaca
3;2;1000;400;226;375;2904;114;10;1;4;129,000,000;5;646,000,000;Takedar,Sterl,Terro
3;3;1000;400;232;385;2928;115;10;1;4;165,000,000;4;659,000,000;Lojak,Sterl,Terro
3;4;1000;400;238;395;2952;117;10;1;4;138,000,000;5;692,000,000;Lojak,Takedar,Terro
